"Identificador","Senioridade","Frequencia de uso","Q15.1","Q15.2","Q15.3","Q15.4","Q15.5","Q15.6","Q15.7","Q15.8","Q15.9","Q19.1","Q19.2","Q19.3","Q19.4","Q19.5","Q19.6","Q19.7","Q19.8","Q23.1","Q23.2","Q23.3","Q23.4","Q23.5","Q23.6","Q23.7","Q23.8","Q23.9","Q27.1","Q27.2","Q27.3","Q27.4","Q27.5","Q27.6","Q27.7","Q27.8","Q31.1","Q31.2","Q31.3","Q31.4","Q31.5","Q31.6","Q31.7","Q31.8","Q31.9","seniority_group","usage_group","satisfaction_benefits","satisfaction_tensions","performance_benefits","performance_tensions","activity_frequency","communication_benefits","communication_tensions","efficiency_benefits","efficiency_prompt","efficiency_validation"
"Dev_01","Senior","Utilizo Muito Frequentemente",5,1,2,4,5,5,4,1,1,5,5,5,4,5,3,2,5,5,4,4,5,3,2,5,1,1,5,4,1,5,4,4,2,5,1,5,5,3,1,3,4,5,4,"S","I",2.75,3.4,3.66666666666667,4.6,3.33333333333333,3.71428571428571,4,3.14285714285714,5,4
"Dev_02","Júnior","Utilizo Frequentemente",5,2,3,1,2,4,3,2,2,3,3,5,3,3,2,3,2,3,4,3,4,2,2,4,3,3,2,3,2,3,4,3,2,5,2,3,3,4,2,2,2,3,2,"E","O",3,2.4,2.66666666666667,3.2,3.11111111111111,3,3,2.57142857142857,3,2
"Dev_03","Senior","Utilizo Frequentemente",4,2,5,2,2,1,4,3,3,4,3,4,5,2,5,3,5,5,3,4,5,3,5,5,3,3,4,3,1,5,5,5,5,4,4,2,5,5,5,5,3,5,2,"S","O",3.5,2.4,4.33333333333333,3.6,4,4.14285714285714,3,4.57142857142857,2,2
"Dev_04","Senior","Utilizo Muito Frequentemente",5,1,3,2,2,3,5,3,3,3,3,5,3,3,2,4,5,5,3,3,3,3,3,5,3,4,4,3,3,5,3,3,3,5,4,1,5,3,3,4,4,4,3,"S","I",4,2.2,4,3.2,3.55555555555556,3.71428571428571,3,3.85714285714286,1,3
"Dev_05","Senior","Utilizo Muito Frequentemente",4,3,4,2,2,2,4,3,3,4,2,2,4,3,2,4,4,3,4,3,3,4,3,3,4,3,2,3,2,4,4,4,3,4,3,3,4,4,4,4,4,4,2,"S","I",3.5,2.6,4,2.6,3.33333333333333,3.28571428571429,3,3.85714285714286,3,2
"Dev_06","Senior","Utilizo Muito Frequentemente",5,1,1,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,1,2,1,5,5,5,5,5,5,1,5,5,5,5,5,5,2,"S","I",5,3.4,3.66666666666667,4.2,5,3.85714285714286,2,5,1,2
"Dev_07","Senior","Utilizo Muito Frequentemente",4,1,2,2,3,4,4,3,2,2,2,5,4,3,2,4,4,4,3,3,4,4,4,4,4,3,3,3,1,3,4,4,3,4,4,2,5,4,3,4,4,5,2,"S","I",3.25,2.4,4,2.8,3.66666666666667,3.14285714285714,3,4.14285714285714,2,2
"Dev_08","Senior","Utilizo Frequentemente",4,2,2,2,3,4,5,1,3,3,3,5,5,4,2,4,5,5,4,3,4,5,4,4,4,2,5,3,3,3,4,4,3,5,4,3,5,5,3,2,5,4,2,"S","O",3.25,2.6,4.66666666666667,3.4,3.88888888888889,3.85714285714286,3,4,3,2
"Dev_09","Pleno","Utilizo Muito Frequentemente",5,5,4,2,2,2,5,3,4,3,3,5,5,4,4,4,5,4,4,5,5,5,4,4,4,4,4,4,1,3,5,5,4,5,5,1,5,5,5,5,4,5,3,"M","I",4.25,3,4.66666666666667,3.8,4.33333333333333,3.85714285714286,4,4.85714285714286,1,3
"Dev_10","Senior","Utilizo Frequentemente",4,2,4,2,3,3,2,2,4,3,3,3,4,4,3,3,4,3,4,3,4,4,4,5,3,2,2,3,2,5,4,4,4,4,4,4,4,4,4,4,3,4,3,"S","O",3,2.8,3.66666666666667,3.2,3.55555555555556,3.57142857142857,3,3.85714285714286,4,3
"Dev_11","Senior","Utilizo Frequentemente",5,3,4,4,4,4,2,3,3,5,5,3,3,4,3,3,4,3,4,4,3,3,3,3,3,3,3,3,3,4,3,4,3,4,3,3,4,2,3,4,4,4,3,"S","O",3.25,3.8,3.33333333333333,4,3.22222222222222,3.42857142857143,3,3.42857142857143,3,3
"Dev_12","Senior","Utilizo Frequentemente",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"S","O",3,3,3,3,3,3,3,3,3,3
"Dev_13","Pleno","Utilizo Eventualmente",3,3,3,5,5,5,1,1,1,5,5,5,1,5,1,1,1,4,1,1,3,4,1,1,1,1,2,5,5,2,1,1,1,1,2,5,5,2,2,2,1,1,5,"M","O",1.5,4.2,1,4.2,1.88888888888889,1.85714285714286,5,2.14285714285714,5,5
"Dev_14","Senior","Utilizo Eventualmente",3,3,2,4,4,5,3,1,1,4,4,5,3,4,2,3,3,2,3,5,3,2,3,4,3,3,2,4,3,2,3,3,2,2,3,2,5,2,1,1,2,2,4,"S","O",2,3.6,3,3.8,3.11111111111111,2.42857142857143,4,2.28571428571429,2,4
"Dev_15","Pleno","Utilizo Eventualmente",5,3,5,1,1,1,4,3,3,4,3,5,3,2,3,2,4,3,2,3,2,4,1,1,1,1,3,1,1,1,2,2,1,1,2,1,5,3,1,2,2,1,1,"M","O",3.75,2.2,3,3.4,2,1.57142857142857,1,2.28571428571429,1,1
"Dev_16","Senior","Utilizo Muito Frequentemente",3,2,3,4,4,4,4,4,4,5,4,5,4,3,1,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,3,3,3,4,4,3,3,3,3,3,"S","I",3.75,3.4,3.66666666666667,3.6,4,3.57142857142857,3,3.28571428571429,3,3
"Dev_17","Senior","Utilizo Muito Frequentemente",5,2,2,3,3,3,4,3,3,4,3,5,5,3,2,4,5,3,5,4,3,5,3,5,3,4,2,3,1,3,3,4,2,5,2,3,5,4,5,3,4,5,3,"S","I",3.75,2.6,4.66666666666667,3.4,3.88888888888889,2.85714285714286,3,4,3,3
"Dev_18","Senior","Utilizo Frequentemente",5,2,2,2,2,1,2,1,1,4,2,4,3,2,1,2,4,4,4,3,4,2,3,4,2,2,1,2,3,4,3,2,3,3,3,1,4,4,4,3,4,4,1,"S","O",2.25,1.8,3,2.6,3.11111111111111,2.71428571428571,2,3.71428571428571,1,1
"Dev_19","Senior","Utilizo Muito Frequentemente",3,4,4,3,3,3,3,1,2,4,4,5,3,5,3,2,4,3,4,2,5,4,4,5,4,3,4,4,2,4,4,4,4,4,3,3,4,4,3,4,4,3,1,"S","I",2.25,3.4,3,4.2,3.77777777777778,3.71428571428571,4,3.57142857142857,3,1
"Dev_20","Pleno","Utilizo Muito Frequentemente",5,1,2,1,2,3,4,5,3,1,1,5,5,2,1,5,5,3,5,5,3,5,4,2,5,2,3,1,1,5,5,4,5,5,5,1,5,3,4,2,1,1,1,"M","I",4.25,1.8,5,2,3.77777777777778,4,1,3,1,1
"Dev_21","Senior","Utilizo Frequentemente",4,3,2,2,2,1,3,4,4,4,4,5,3,4,2,3,4,4,3,4,3,4,3,4,2,2,4,3,4,4,4,4,2,4,3,4,4,2,3,3,3,4,2,"S","O",3.75,2,3.33333333333333,3.8,3.22222222222222,3.71428571428571,3,3.14285714285714,4,2
"Dev_22","Senior","Utilizo Muito Frequentemente",5,3,4,4,4,4,5,3,3,4,4,5,4,4,3,3,5,5,5,5,5,5,5,5,4,4,4,4,2,5,4,5,4,5,5,3,5,5,4,4,4,5,3,"S","I",4,3.8,4,4,4.77777777777778,4.14285714285714,4,4.57142857142857,3,3
"Dev_23","Pleno","Utilizo Muito Frequentemente",5,1,4,3,3,3,5,4,5,4,3,5,5,4,1,4,5,3,5,5,5,5,3,5,5,1,4,1,5,5,5,5,5,5,5,2,5,5,3,5,5,3,5,"M","I",4.75,2.8,4.66666666666667,3.4,4.11111111111111,4.85714285714286,1,4.42857142857143,2,5
"Dev_24","Pleno","Utilizo Frequentemente",4,3,4,3,3,2,5,5,5,4,5,5,3,4,3,4,5,4,5,5,5,2,3,4,2,3,5,3,3,5,4,2,3,3,3,4,5,5,4,4,4,4,3,"M","O",4.75,3,4,4.2,3.66666666666667,3.57142857142857,3,4.14285714285714,4,3
"Dev_25","Senior","Utilizo Muito Frequentemente",5,1,1,1,1,1,5,1,1,3,1,5,5,1,1,4,4,3,4,4,4,4,4,4,4,2,2,2,1,5,5,3,4,5,3,2,4,4,4,3,4,3,3,"S","I",3,1,4.33333333333333,2.2,3.66666666666667,3.57142857142857,2,3.57142857142857,2,3
"Dev_26","Júnior","Utilizo Muito Frequentemente",5,1,5,1,1,1,4,2,2,4,3,5,2,2,2,4,5,5,3,5,5,5,2,5,5,1,3,1,1,2,5,3,4,5,4,3,5,3,1,4,4,4,2,"E","I",3.25,1.8,3.66666666666667,3.2,4,3.28571428571429,1,3.57142857142857,3,2
"Dev_27","Júnior","Utilizo Eventualmente",2,2,4,4,3,1,2,1,1,3,3,4,3,2,4,4,4,1,4,4,4,2,3,3,4,1,4,3,4,3,4,4,3,4,4,3,4,4,4,4,4,4,4,"E","O",1.5,2.8,3.66666666666667,3.2,2.88888888888889,3.71428571428571,3,4,3,4
"Dev_28","Senior","Utilizo Frequentemente",2,4,5,4,4,5,1,1,1,3,4,5,1,2,3,1,3,3,3,5,3,5,2,5,4,1,1,4,1,4,1,5,4,1,1,3,4,1,1,1,1,4,4,"S","O",1.25,4.4,1.66666666666667,3.4,3.44444444444444,2.42857142857143,4,1.85714285714286,3,4
"Dev_29","Pleno","Utilizo Eventualmente",5,4,5,1,1,1,4,3,4,2,2,2,5,2,3,5,5,2,3,3,4,3,3,2,2,2,4,3,3,4,4,4,2,4,4,2,4,3,4,4,4,4,4,"M","O",4,2.4,5,2.2,2.66666666666667,3.57142857142857,3,3.85714285714286,2,4
"Dev_30","Pleno","Utilizo Eventualmente",2,4,4,3,3,5,5,5,5,3,3,5,3,3,3,3,3,3,4,4,5,4,5,5,5,5,1,2,3,2,3,2,2,2,4,3,4,3,4,3,4,3,4,"M","O",4.25,3.8,3,3.4,4.44444444444444,2.14285714285714,2,3.57142857142857,3,4
"Dev_31","Júnior","Utilizo Muito Frequentemente",5,1,3,3,3,4,4,4,4,2,2,5,3,2,1,4,4,4,3,3,4,5,3,4,4,3,5,2,2,4,4,4,4,4,5,1,5,3,3,3,4,4,3,"E","I",4.25,2.8,3.66666666666667,2.4,3.66666666666667,3.85714285714286,2,3.85714285714286,1,3
"Dev_32","Pleno","Utilizo Muito Frequentemente",2,4,3,2,5,2,5,3,3,3,4,4,4,2,2,1,3,4,4,2,4,5,4,5,4,3,5,4,2,4,4,4,4,5,5,4,5,5,5,2,4,4,2,"M","I",3.25,3.2,2.66666666666667,3,3.88888888888889,4,4,4.28571428571429,4,2
"Dev_33","Pleno","Utilizo Frequentemente",5,1,2,1,3,3,4,5,3,2,2,5,4,3,3,4,5,2,3,5,5,5,1,3,4,4,2,3,5,5,5,5,4,5,3,3,5,5,3,4,4,5,2,"M","O",4.25,2,4.33333333333333,3,3.55555555555556,4.42857142857143,3,4.14285714285714,3,2
"Dev_34","Estagiário/Trainee","Utilizo Muito Frequentemente",4,2,5,4,2,3,5,5,5,2,2,5,4,3,4,5,5,3,5,3,4,1,2,4,4,3,5,1,1,3,4,4,4,5,2,1,5,4,2,4,5,5,4,"E","I",4.75,3.2,4.66666666666667,3.2,3.22222222222222,3.71428571428571,1,3.85714285714286,1,4
"Dev_35","Pleno","Utilizo Muito Frequentemente",5,1,4,2,5,1,5,3,3,3,2,5,4,4,1,3,5,3,4,5,5,5,4,3,5,3,4,2,4,5,5,2,5,5,4,5,5,5,2,5,5,5,3,"M","I",4,2.6,4,3,4.11111111111111,4.28571428571429,2,4.42857142857143,5,3
"Dev_36","Pleno","Utilizo Muito Frequentemente",5,1,2,3,2,5,5,5,3,2,3,5,3,3,2,3,5,5,5,5,5,5,5,5,5,5,3,2,4,5,5,5,5,5,5,3,5,5,5,3,2,4,1,"M","I",4.5,2.6,3.66666666666667,3,5,4.57142857142857,2,4.14285714285714,3,1
"Dev_37","Senior","Utilizo Muito Frequentemente",5,1,1,1,3,5,4,1,1,5,1,5,1,5,1,1,4,1,3,2,1,2,4,1,1,1,1,1,1,1,1,1,1,4,5,5,1,3,1,4,5,5,1,"S","I",2.75,2.2,2,3.4,1.77777777777778,1.42857142857143,1,3.42857142857143,5,1
"Dev_38","Senior","Utilizo Muito Frequentemente",5,1,4,2,2,4,5,5,5,2,2,5,5,4,3,4,5,5,5,5,5,5,5,5,5,4,4,3,3,4,5,5,5,5,3,3,5,5,3,4,4,5,2,"S","I",5,2.6,4.66666666666667,3.2,4.88888888888889,4.42857142857143,3,4.14285714285714,3,2
"Dev_39","Senior","Utilizo Eventualmente",3,3,3,1,1,2,1,1,1,3,3,5,2,3,3,1,4,2,2,4,4,1,2,4,4,1,2,3,1,2,2,1,4,3,1,1,5,1,1,2,3,4,1,"S","O",1.5,2,2.33333333333333,3.4,2.66666666666667,2.14285714285714,3,2.42857142857143,1,1
"Dev_40","Senior","Utilizo Raramente",5,4,1,5,5,5,1,1,1,5,5,5,1,4,1,1,5,1,4,1,1,2,2,1,4,1,1,4,1,1,1,1,1,1,1,1,4,4,1,2,1,1,3,"S","O",2,4,2.33333333333333,4,1.88888888888889,1,4,2,1,3
"Dev_41","Senior","Utilizo Muito Frequentemente",4,1,2,1,1,1,3,3,3,3,3,5,4,2,3,3,5,1,2,1,2,5,3,2,1,1,3,3,1,5,1,1,1,1,1,1,4,1,1,1,1,3,1,"S","I",3.25,1.2,4,3.2,2,1.85714285714286,3,1.71428571428571,1,1
